title,type,question,A,B,C,D,E,F,G,answer,image
Fire Extinguisher,radio,Water Fire Extinguisher / Alat Pemadam Kebakaran Air 能灭什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,A,
,checkbox,Foam Fire Extinguisher / Alat Pemadam Kebakaran Buih能灭什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,"A,B",
,checkbox,Carbon Dioxide Fire Extinguisher / Alat Pemadam Kebakaran Karbon Dioksida 能灭什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,"B,C,E,F",
,checkbox,Dry powder Fire Extinguisher / Alat Pemadam Kebakaran Serbuk Kering 能灭什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,"A,B,C,D,E,F",
,radio,木头属于什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,A,
,radio,汽油属于什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,B,
,radio,液态石油气属于什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,C,
,radio,Magnesium属于什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,D,
,radio,插座着火属于什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,E,
,radio,Fat/Lemak属于什么种类的火？,Class A / Kelas A,Class B / Kelas B,Class C / Kelas C,Class D / Kelas D,Class E / Kelas E,Class F / Kelas F,,F,
,radio,Red Colour Label / Warna Label Merah 属于,Water Fire Extinguisher / Alat Pemadam Kebakaran Air,Foam Fire Extinguisher / Alat Pemadam Kebakaran Buih,Carbon Dioxide Fire Extinguisher / Alat Pemadam Kebakaran Karbon Dioksida,Dry powder Fire Extinguisher / Alat Pemadam Kebakaran Serbuk Kering,,,,A,
,radio,Cream Colour Label / Warna Label Merah 属于,Water Fire Extinguisher / Alat Pemadam Kebakaran Air,Foam Fire Extinguisher / Alat Pemadam Kebakaran Buih,Carbon Dioxide Fire Extinguisher / Alat Pemadam Kebakaran Karbon Dioksida,Dry powder Fire Extinguisher / Alat Pemadam Kebakaran Serbuk Kering,,,,B,
,radio,Black Colour Label / Warna Label Hitam属于,Water Fire Extinguisher / Alat Pemadam Kebakaran Air,Foam Fire Extinguisher / Alat Pemadam Kebakaran Buih,Carbon Dioxide Fire Extinguisher / Alat Pemadam Kebakaran Karbon Dioksida,Dry powder Fire Extinguisher / Alat Pemadam Kebakaran Serbuk Kering,,,,C,
,radio,Blue Colour Label / Warna Label Biru属于,Water Fire Extinguisher / Alat Pemadam Kebakaran Air,Foam Fire Extinguisher / Alat Pemadam Kebakaran Buih,Carbon Dioxide Fire Extinguisher / Alat Pemadam Kebakaran Karbon Dioksida,Dry powder Fire Extinguisher / Alat Pemadam Kebakaran Serbuk Kering,,,,D,
